secteur;Activity;Country;Haul;Class;Type;Material;Fuel;load;Waste type;Size;Unit;Year;kg CO2e;kg CO2;kg CH4;kg N2O;;;
UK electricity T&D for EVs;Vans;;;;Class I (up to 1.305 tonnes);;Battery Electric Vehicle;;;;km;;0,00395;0,00392;0,00001;0,00002;;;
UK electricity T&D for EVs;Vans;;;;Class I (up to 1.305 tonnes);;Battery Electric Vehicle;;;;miles;;0,00636;0,00631;0,00002;0,00003;;;
UK electricity T&D for EVs;Vans;;;;Class II (1.305 to 1.74 tonnes);;Battery Electric Vehicle;;;;tonne.km;;0,02702;0,02680;0,00007;0,00015;;;
UK electricity T&D for EVs;Vans;;;;Class II (1.305 to 1.74 tonnes);;Battery Electric Vehicle;;;;km;;0,00542;0,00538;0,00001;0,00003;;;
UK electricity T&D for EVs;Vans;;;;Class II (1.305 to 1.74 tonnes);;Battery Electric Vehicle;;;;miles;;0,00873;0,00866;0,00002;0,00005;;;
UK electricity T&D for EVs;Vans;;;;Class III (1.74 to 3.5 tonnes);;Battery Electric Vehicle;;;;tonne.km;;0,02654;0,02633;0,00007;0,00014;;;
UK electricity T&D for EVs;Vans;;;;Class III (1.74 to 3.5 tonnes);;Battery Electric Vehicle;;;;km;;0,00798;0,00792;0,00002;0,00004;;;
UK electricity T&D for EVs;Vans;;;;Class III (1.74 to 3.5 tonnes);;Battery Electric Vehicle;;;;miles;;0,01284;0,01275;0,00003;0,00006;;;
UK electricity T&D for EVs;Vans;;;;Average (up to 3.5 tonnes);;Battery Electric Vehicle;;;;tonne.km;;0,02701;0,02679;0,00007;0,00015;;;
UK electricity T&D for EVs;Vans;;;;Average (up to 3.5 tonnes);;Battery Electric Vehicle;;;;km;;0,00544;0,00540;0,00001;0,00003;;;
UK electricity T&D for EVs;Vans;;;;Average (up to 3.5 tonnes);;Battery Electric Vehicle;;;;miles;;0,00876;0,00869;0,00002;0,00005;;;
WTT- UK & overseas elec;WTT- UK electricity (generation);UK;;;;;;;;;kWh;2018;  0,04198 ;;;;;;
WTT- UK & overseas elec;WTT- UK electricity (T&D);UK;;;;;;;;;kWh;2018;  0,00358 ;;;;;;
WTT- UK & overseas elec;WTT- overseas electricity (generation);Australia;;;;;;;;;kWh;2018;  0,12659 ;;;;;;
WTT- UK & overseas elec;WTT- overseas electricity (generation);Austria;;;;;;;;;kWh;2018;  0,03482 ;;;;;;
WTT- UK & overseas elec;WTT- overseas electricity (generation);Belgium;;;;;;;;;kWh;2018;  0,02708 ;;;;;;
WTT- UK & overseas elec;WTT- overseas electricity (generation);Brazil;;;;;;;;;kWh;2018;  0,00976 ;;;;;;
WTT- UK & overseas elec;WTT- overseas electricity (generation);Bulgaria;;;;;;;;;kWh;2018;  0,0946  ;;;;;;
WTT- UK & overseas elec;WTT- overseas electricity (generation);Canada;;;;;;;;;kWh;2018;  0,02395 ;;;;;;
WTT- UK & overseas elec;WTT- overseas electricity (generation);Chinese Taipei;;;;;;;;;kWh;2018;  0,09017 ;;;;;;
WTT- UK & overseas elec;WTT- overseas electricity (generation);Croatia;;;;;;;;;kWh;2018;  0,04744 ;;;;;;
WTT- UK & overseas elec;WTT- overseas electricity (generation);Cyprus;;;;;;;;;kWh;2018;  0,11438 ;;;;;;
WTT- UK & overseas elec;WTT- overseas electricity (generation);Czech Republic;;;;;;;;;kWh;2018;  0,09057 ;;;;;;
WTT- UK & overseas elec;WTT- overseas electricity (generation);Denmark;;;;;;;;;kWh;2018;  0,03972 ;;;;;;
WTT- UK & overseas elec;WTT- overseas electricity (generation);Egypt;;;;;;;;;kWh;2018;  0,07295 ;;;;;;
WTT- UK & overseas elec;WTT- overseas electricity (generation);Estonia;;;;;;;;;kWh;2018;  0,17391 ;;;;;;
